external_contact_id,person_id,relation_type,label,home_place_id,co_resident,availability_profile,description
EXT0000001,P00001,parent,样本外母亲,PL_W659240182,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000002,P00002,parent,样本外母亲,PL_W804478489,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000003,P00002,minor_child,样本外未成年子女1,PL_W943428729,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000004,P00003,parent,样本外父亲,PL_W662379882,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000005,P00003,parent,样本外父亲,PL_W661194745,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000006,P00004,partner,样本外伴侣,PL_W661275865,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000007,P00004,minor_child,样本外未成年子女1,PL_W661275865,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000008,P00005,partner,样本外伴侣,PL_W770873612,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000009,P00005,minor_child,样本外未成年子女1,PL_W770873612,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000010,P00005,minor_child,样本外未成年子女2,PL_W770873612,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000011,P00006,parent,样本外父亲,PL_W673829134,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000012,P00006,parent,样本外父亲,PL_W662094276,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000013,P00006,minor_child,样本外未成年子女1,PL_W659831040,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000014,P00007,parent,样本外父亲,PL_W661809755,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000015,P00007,parent,样本外父亲,PL_W659729390,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000016,P00007,minor_child,样本外未成年子女1,PL_W661635899,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000017,P00008,parent,样本外父亲,PL_W802227786,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000018,P00009,parent,样本外父亲,PL_W660034429,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000019,P00010,partner,样本外伴侣,PL_W661957666,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000020,P00010,parent,样本外父亲,PL_W115801686,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000021,P00010,parent,样本外父亲,PL_W662147763,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000022,P00010,minor_child,样本外未成年子女1,PL_W661957666,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000023,P00011,minor_child,样本外未成年子女1,PL_W31373088,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000024,P00012,parent,样本外母亲,PL_W40544100,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000025,P00013,parent,样本外父亲,PL_W660634095,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000026,P00013,minor_child,样本外未成年子女1,PL_W659446956,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000027,P00013,minor_child,样本外未成年子女2,PL_W659446956,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000028,P00014,parent,样本外母亲,PL_W661643744,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000029,P00014,parent,样本外父亲,PL_W662992585,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000030,P00015,parent,样本外父亲,PL_W743540871,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000031,P00016,partner,样本外伴侣,PL_W663069981,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000032,P00017,parent,样本外父亲,PL_W795814024,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000033,P00017,parent,样本外父亲,PL_W659839775,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000034,P00017,minor_child,样本外未成年子女1,PL_W662175819,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000035,P00017,minor_child,样本外未成年子女2,PL_W662175819,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000036,P00018,parent,样本外父亲,PL_W657979360,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000037,P00018,parent,样本外父亲,PL_W661635339,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000038,P00018,minor_child,样本外未成年子女1,PL_W659449245,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000039,P00019,partner,样本外伴侣,PL_W661204987,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000040,P00019,parent,样本外母亲,PL_W662552676,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000041,P00019,minor_child,样本外未成年子女1,PL_W661204987,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000042,P00020,minor_child,样本外未成年子女1,PL_W705529518,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000043,P00022,partner,样本外伴侣,PL_W1275510426,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000044,P00022,parent,样本外母亲,PL_W659448963,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000045,P00022,parent,样本外父亲,PL_W661281250,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000046,P00023,parent,样本外父亲,PL_W660636556,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000047,P00023,minor_child,样本外未成年子女1,PL_W704993431,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000048,P00024,partner,样本外伴侣,PL_W31451199,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000049,P00024,parent,样本外母亲,PL_W1238694475,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000050,P00024,minor_child,样本外未成年子女1,PL_W31451199,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000051,P00025,partner,样本外伴侣,PL_W660842344,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000052,P00025,parent,样本外母亲,PL_W660034720,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000053,P00025,parent,样本外父亲,PL_W657949255,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000054,P00026,partner,样本外伴侣,PL_W659307342,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000055,P00027,partner,样本外伴侣,PL_W43811734,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000056,P00027,parent,样本外父亲,PL_W660230911,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000057,P00027,parent,样本外父亲,PL_W660843768,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000058,P00027,minor_child,样本外未成年子女1,PL_W43811734,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000059,P00028,partner,样本外伴侣,PL_W31622236,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000060,P00028,minor_child,样本外未成年子女1,PL_W31622236,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000061,P00029,parent,样本外母亲,PL_W662756416,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000062,P00030,partner,样本外伴侣,PL_W457493164,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000063,P00030,parent,样本外母亲,PL_W663550149,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000064,P00031,parent,样本外父亲,PL_W663828174,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
