organization_id,name,organization_type,place_id,district,member_count,team_count,employee_capacity,name_source,is_real_name,match_confidence,max_match_distance_m,work_place_count,source,source_id,source_url,description
ORG_N10012524299,The LOFT Pilates Studio,gym,PL_N10012524299,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10012524299,https://www.openstreetmap.org/node/10012524299,OpenStreetMap name cached during data preparation: The LOFT Pilates Studio. No external company lookup occurs during runtime.
ORG_N10032196436,Hot Dog Stand,restaurant,PL_N10032196436,Old Toronto,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10032196436,https://www.openstreetmap.org/node/10032196436,OpenStreetMap name cached during data preparation: Hot Dog Stand. No external company lookup occurs during runtime.
ORG_N10032338694,KFC,restaurant,PL_N10032338694,Old Toronto,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10032338694,https://www.openstreetmap.org/node/10032338694,OpenStreetMap name cached during data preparation: KFC. No external company lookup occurs during runtime.
ORG_N10032354577,Keller Williams Advantage Realty,office,PL_N10032354577,Old Toronto,2,1,80,osm_nearby_name,true,medium,84.4,2,OpenStreetMap,N10032354577,https://www.openstreetmap.org/node/10032354577,OpenStreetMap name cached during data preparation: Keller Williams Advantage Realty. No external company lookup occurs during runtime.
ORG_N10043714525,Royal LePage,office,PL_N10043714525,Old Toronto,6,1,80,osm_name,true,high,15.9,2,OpenStreetMap,N10043714525,https://www.openstreetmap.org/node/10043714525,OpenStreetMap name cached during data preparation: Royal LePage. No external company lookup occurs during runtime.
ORG_N10061823882,Olympian School of Swimming (Warden Location),gym,PL_N10061823882,Scarborough,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10061823882,https://www.openstreetmap.org/node/10061823882,OpenStreetMap name cached during data preparation: Olympian School of Swimming (Warden Location). No external company lookup occurs during runtime.
ORG_N10067799843,F45 Training,gym,PL_N10067799843,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10067799843,https://www.openstreetmap.org/node/10067799843,OpenStreetMap name cached during data preparation: F45 Training. No external company lookup occurs during runtime.
ORG_N10085680270,Alam Accounting & Tax,office,PL_N10085680270,Scarborough,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10085680270,https://www.openstreetmap.org/node/10085680270,OpenStreetMap name cached during data preparation: Alam Accounting & Tax. No external company lookup occurs during runtime.
ORG_N10085704214,CDI College,university,PL_N10085704214,Scarborough,5,1,120,osm_name,true,verified,0.0,1,OpenStreetMap,N10085704214,https://www.openstreetmap.org/node/10085704214,OpenStreetMap name cached during data preparation: CDI College. No external company lookup occurs during runtime.
ORG_N10087958867,Bisceglia & Associates Barristers at Law,office,PL_N10087958867,Vaughan,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10087958867,https://www.openstreetmap.org/node/10087958867,OpenStreetMap name cached during data preparation: Bisceglia & Associates Barristers at Law. No external company lookup occurs during runtime.
ORG_N10087972912,SJ’s Convenience,retail,PL_N10087972912,Vaughan,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10087972912,https://www.openstreetmap.org/node/10087972912,OpenStreetMap name cached during data preparation: SJ’s Convenience. No external company lookup occurs during runtime.
ORG_N10087984338,RE/MAX,office,PL_N10087984338,Vaughan,4,1,80,osm_nearby_name,true,medium,61.5,1,OpenStreetMap,N10087984338,https://www.openstreetmap.org/node/10087984338,OpenStreetMap name cached during data preparation: RE/MAX. No external company lookup occurs during runtime.
ORG_N10096704342,Infosys Limited,office,PL_N10096704342,Brampton,1,1,80,osm_nearby_name,true,high,9.3,1,OpenStreetMap,N10096704342,https://www.openstreetmap.org/node/10096704342,OpenStreetMap name cached during data preparation: Infosys Limited. No external company lookup occurs during runtime.
ORG_N10155708532,Caffé Demetre,cafe,PL_N10155708532,Old Toronto,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10155708532,https://www.openstreetmap.org/node/10155708532,OpenStreetMap name cached during data preparation: Caffé Demetre. No external company lookup occurs during runtime.
ORG_N10159822808,Bom Dia Cafe and Bakery,cafe,PL_N10159822808,Old Toronto,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10159822808,https://www.openstreetmap.org/node/10159822808,OpenStreetMap name cached during data preparation: Bom Dia Cafe and Bakery. No external company lookup occurs during runtime.
ORG_N10167804063,BMO Institute for Learning,hotel,PL_N10167804063,Markham,1,1,40,osm_name,true,verified,0.0,1,OpenStreetMap,N10167804063,https://www.openstreetmap.org/node/10167804063,OpenStreetMap name cached during data preparation: BMO Institute for Learning. No external company lookup occurs during runtime.
ORG_N10220344612,Y. Liu Law Firm,office,PL_N10220344612,Old Toronto,4,1,80,osm_name,true,medium,56.7,2,OpenStreetMap,N10220344612,https://www.openstreetmap.org/node/10220344612,OpenStreetMap name cached during data preparation: Y. Liu Law Firm. No external company lookup occurs during runtime.
ORG_N10221864570,Xekem,restaurant,PL_N10221864570,Old Toronto,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10221864570,https://www.openstreetmap.org/node/10221864570,OpenStreetMap name cached during data preparation: Xekem. No external company lookup occurs during runtime.
ORG_N10228967985,Richard Killen & Associates Ltd,office,PL_N10228967985,North York,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10228967985,https://www.openstreetmap.org/node/10228967985,OpenStreetMap name cached during data preparation: Richard Killen & Associates Ltd. No external company lookup occurs during runtime.
