person_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,personality_summary
P00001,0.12,0.65,0.53,0.29,0.35,0.26,0.11,0.36,0.72,0.25,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式直接简洁，生活取向相对均衡。
P00002,0.27,0.67,0.30,0.45,0.36,0.70,0.79,0.11,0.63,0.63,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00003,0.69,0.27,0.48,0.68,0.83,0.59,0.63,0.47,0.55,0.72,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P00004,0.49,0.70,0.46,0.43,0.44,0.41,0.39,0.81,0.38,0.44,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00005,0.28,0.68,0.34,0.62,0.35,0.54,0.54,0.41,0.15,0.37,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00006,0.50,0.76,0.28,0.75,0.44,0.71,0.85,0.18,0.70,0.23,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式直接简洁，重视家庭联系。
P00007,0.81,0.82,0.20,0.57,0.64,0.46,0.98,0.34,0.53,0.49,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P00008,0.82,0.16,0.74,0.73,0.53,0.64,0.69,0.29,0.30,0.22,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系。
P00009,0.88,0.36,0.51,0.88,0.52,0.79,0.13,0.58,0.41,0.67,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00010,0.90,0.77,0.19,0.66,0.75,0.41,0.81,0.76,0.60,0.49,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，喜欢晚间外出。
P00011,0.58,0.42,0.64,0.72,0.55,0.66,0.79,0.50,0.35,0.86,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00012,0.52,0.84,0.15,0.55,0.55,0.47,0.35,0.52,0.21,0.38,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00013,0.49,0.56,0.61,0.51,0.58,0.67,0.85,0.81,0.79,0.78,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系，处理分歧时较有耐心。
P00014,0.47,0.25,0.56,0.56,0.58,0.60,0.65,0.95,0.62,0.30,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00015,0.83,0.94,0.30,0.64,0.65,0.36,0.28,0.31,0.46,0.37,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00016,0.64,0.63,0.39,0.79,0.76,0.65,0.11,0.10,0.39,0.45,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，喜欢晚间外出。
P00017,0.60,0.47,0.49,0.45,0.52,0.51,0.98,0.22,0.51,0.32,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00018,0.27,0.68,0.32,0.23,0.56,0.14,0.56,0.72,0.20,0.81,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式温和体贴，处理分歧时较有耐心。
P00019,0.44,0.42,0.56,0.28,0.75,0.36,0.59,0.15,0.17,0.15,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，喜欢晚间外出。
P00020,0.58,0.54,0.58,0.34,0.36,0.43,0.66,0.68,0.12,0.66,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00021,0.64,0.55,0.50,0.67,0.69,0.30,0.55,0.72,0.40,0.59,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，喜欢晚间外出。
P00022,0.32,0.56,0.44,0.50,0.58,0.38,0.64,0.60,0.39,0.43,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00023,0.63,0.45,0.40,0.61,0.56,0.59,0.25,0.42,0.10,0.43,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00024,0.31,0.83,0.30,0.49,0.32,0.75,0.52,0.19,0.72,0.52,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00025,0.50,0.93,0.05,0.67,0.44,0.71,0.20,0.74,0.34,0.57,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00026,0.35,0.53,0.32,0.44,0.69,0.87,0.31,0.32,0.14,0.88,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P00027,0.60,0.23,0.70,0.42,0.47,0.46,0.83,0.83,0.23,0.92,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，处理分歧时较有耐心。
P00028,0.63,0.48,0.49,0.47,0.68,0.61,0.66,0.43,0.22,0.50,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00029,0.38,0.45,0.65,0.37,0.38,0.63,0.66,0.63,0.60,0.63,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00030,0.69,0.45,0.48,0.56,0.65,0.48,0.60,0.69,0.39,0.83,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，处理分歧时较有耐心。
P00031,0.24,0.59,0.42,0.41,0.54,0.47,0.44,0.75,0.20,0.51,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00032,0.66,0.35,0.61,0.44,0.41,0.35,0.35,0.54,0.57,0.33,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00033,0.79,0.74,0.48,0.49,0.64,0.50,0.68,0.46,0.23,0.71,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00034,0.77,0.62,0.28,0.65,0.73,0.86,0.68,0.48,0.25,0.20,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P00035,0.75,0.35,0.58,0.57,0.65,0.61,0.38,0.72,0.67,0.64,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00036,0.41,0.34,0.52,0.44,0.64,0.15,0.55,0.81,0.51,0.58,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00037,0.47,0.48,0.67,0.39,0.45,0.53,0.46,0.73,0.87,0.48,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00038,0.38,0.33,0.81,0.64,0.40,0.24,0.54,0.67,0.60,0.63,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00039,0.84,0.94,0.23,0.73,0.52,0.17,0.26,0.67,0.33,0.65,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00040,0.72,0.36,0.55,0.50,0.51,0.50,0.29,0.60,0.37,0.66,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00041,0.49,0.41,0.61,0.56,0.55,0.71,0.43,0.21,0.15,0.51,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
