person_id,organization_id,team_id,member_role,work_place_id,match_distance_m,match_confidence
P00001,ORG_UNRES_W660842583,ORG_UNRES_W660842583_T001,销售经理,PL_W660842583,0.0,unresolved
P00002,ORG_N10537982829,ORG_N10537982829_T001,会计,PL_W31451792,40.9,medium
P00003,ORG_N7797331451,ORG_N7797331451_T001,硕士研究生,PL_N7797331451,0.0,verified
P00004,ORG_N11281663890,ORG_N11281663890_T001,客服,PL_N11281663890,0.0,verified
P00005,ORG_W25656474,ORG_W25656474_T001,收银员,PL_W25656474,0.0,verified
P00006,ORG_W444340651,ORG_W444340651_T001,数据分析师,PL_W444340651,0.0,verified
P00007,ORG_UNRES_W662257868,ORG_UNRES_W662257868_T001,采购经理,PL_W662257868,0.0,unresolved
P00008,ORG_N5462911230,ORG_N5462911230_T001,自由销售,PL_N5462911230,0.0,verified
P00009,ORG_UNRES_W31617621,ORG_UNRES_W31617621_T001,咨询顾问,PL_W31617621,0.0,unresolved
P00010,ORG_N1859441255,ORG_N1859441255_T001,厨师,PL_N1859441255,0.0,verified
P00011,ORG_W61429677,ORG_W61429677_T002,保安,PL_W61429677,0.0,verified
P00012,ORG_N3440216089,ORG_N3440216089_T001,客户专员,PL_W55029513,25.5,medium
P00013,ORG_UNRES_W661065097,ORG_UNRES_W661065097_T001,建筑工人,PL_W661065097,0.0,unresolved
P00014,ORG_N7658272777,ORG_N7658272777_T001,会计,PL_W60185753,41.5,medium
P00015,ORG_N4602942588,ORG_N4602942588_T001,保安,PL_N4602942588,0.0,verified
P00016,ORG_W23447514,ORG_W23447514_T001,本科生,PL_W23447514,0.0,verified
P00017,ORG_N2849241120,ORG_N2849241120_T001,健身教练,PL_N2849241120,0.0,verified
P00018,ORG_N4030019996,ORG_N4030019996_T001,零售店员,PL_N4030019996,0.0,verified
P00019,ORG_N13744124758,ORG_N13744124758_T001,理发师,PL_N13744124758,0.0,verified
P00020,ORG_UNRES_W705529518,ORG_UNRES_W705529518_T001,自媒体从业者,PL_W705529518,0.0,unresolved
P00021,ORG_W233129906,ORG_W233129906_T001,美容师,PL_W233129906,0.0,verified
P00022,ORG_W32556500,ORG_W32556500_T001,焊工,PL_W660836793,77.3,medium
P00023,ORG_UNRES_W34484343,ORG_UNRES_W34484343_T001,设备操作员,PL_W34484343,0.0,unresolved
P00024,ORG_UNRES_W66983994,ORG_UNRES_W66983994_T001,卡车司机,PL_W66983994,0.0,unresolved
P00025,ORG_W58728305,ORG_W58728305_T001,数据分析师,PL_W58728305,0.0,verified
P00026,ORG_W1540356416,ORG_W1540356416_T001,本科生,PL_W1540356416,0.0,verified
