person_id,place_role,place_id
P00001,HOME,PL_W67091562
P00001,WORK,PL_W660842583
P00002,HOME,PL_W943428729
P00002,WORK,PL_W31451792
P00002,CHILD_SCHOOL,PL_W220406701
P00003,HOME,PL_W662726398
P00003,UNIVERSITY,PL_N7797331451
P00004,HOME,PL_W661275865
P00004,WORK,PL_N11281663890
P00004,CHILD_SCHOOL,PL_N7725077141
P00005,HOME,PL_W770873612
P00005,WORK,PL_W25656474
P00005,CHILD_SCHOOL,PL_W186575881
P00006,HOME,PL_W659831040
P00006,WORK,PL_W444340651
P00006,CHILD_SCHOOL,PL_W42149102
P00007,HOME,PL_W661635899
P00007,WORK,PL_W662257868
P00007,CHILD_SCHOOL,PL_W71410512
P00008,HOME,PL_W663309489
P00008,WORK,PL_N5462911230
P00009,HOME,PL_W31617621
P00009,WORK,PL_W31617621
P00010,HOME,PL_W661957666
P00010,WORK,PL_N1859441255
P00010,CHILD_SCHOOL,PL_W70509378
P00011,HOME,PL_W31373088
P00011,WORK,PL_W61429677
P00011,CHILD_SCHOOL,PL_N534020733
P00012,HOME,PL_W660079717
P00012,WORK,PL_W55029513
P00013,HOME,PL_W659446956
P00013,WORK,PL_W661065097
P00013,CHILD_SCHOOL,PL_W121969533
P00014,HOME,PL_W660358110
P00014,WORK,PL_W60185753
P00015,HOME,PL_W41405416
P00015,WORK,PL_N4602942588
P00016,HOME,PL_W660079496
P00016,UNIVERSITY,PL_W23447514
P00017,HOME,PL_W662175819
P00017,WORK,PL_N2849241120
P00017,CHILD_SCHOOL,PL_W25366324
P00018,HOME,PL_W659449245
P00018,WORK,PL_N4030019996
P00018,CHILD_SCHOOL,PL_W184368203
P00019,HOME,PL_W661204987
P00019,WORK,PL_N13744124758
P00019,CHILD_SCHOOL,PL_W703400000
P00020,HOME,PL_W705529518
P00020,WORK,PL_W705529518
P00020,CHILD_SCHOOL,PL_W35798775
P00021,HOME,PL_W186588111
P00021,WORK,PL_W233129906
P00022,HOME,PL_W1275510426
P00022,WORK,PL_W660836793
P00023,HOME,PL_W704993431
P00023,WORK,PL_W34484343
P00023,CHILD_SCHOOL,PL_W180044576
P00024,HOME,PL_W31451199
P00024,WORK,PL_W66983994
P00024,CHILD_SCHOOL,PL_W35836166
P00025,HOME,PL_W659840562
P00025,WORK,PL_W58728305
P00026,HOME,PL_W334728863
P00026,UNIVERSITY,PL_W1540356416
P00027,HOME,PL_W43811734
P00027,WORK,PL_W704731338
P00027,CHILD_SCHOOL,PL_W43605743
P00028,HOME,PL_W31622236
P00028,WORK,PL_W93810037
P00028,CHILD_SCHOOL,PL_W36747098
P00029,HOME,PL_W660636413
P00029,WORK,PL_W660636413
P00030,HOME,PL_W457493164
P00030,WORK,PL_W457493164
P00031,HOME,PL_W659449079
P00031,WORK,PL_N6181447582
P00032,HOME,PL_W702169121
P00032,WORK,PL_W658018645
P00032,CHILD_SCHOOL,PL_W35836139
P00033,HOME,PL_W659453270
P00033,WORK,PL_W953878382
P00033,CHILD_SCHOOL,PL_W688047029
P00034,HOME,PL_W660817150
P00034,WORK,PL_W43806818
P00035,HOME,PL_W31373094
P00035,WORK,PL_N13717400049
P00036,HOME,PL_W31754521
P00036,WORK,PL_W31754521
P00037,HOME,PL_W33541209
P00037,WORK,PL_W58673686
P00037,CHILD_SCHOOL,PL_N7797334713
P00038,HOME,PL_W661050240
P00038,WORK,PL_W59244428
P00039,HOME,PL_W114706279
P00039,WORK,PL_W58646801
P00040,HOME,PL_W661822523
P00040,WORK,PL_W302935292
P00040,CHILD_SCHOOL,PL_W71269572
P00041,HOME,PL_W702167759
P00041,WORK,PL_W662100744
P00041,CHILD_SCHOOL,PL_W226096987
P00042,HOME,PL_W662761121
P00042,WORK,PL_N6621951597
P00042,CHILD_SCHOOL,PL_W224159663
P00043,HOME,PL_W662500287
P00043,UNIVERSITY,PL_N11115201179
P00044,HOME,PL_W31754538
P00044,WORK,PL_W669624360
P00045,HOME,PL_W34229573
P00045,WORK,PL_W31926854
P00046,HOME,PL_W659340973
P00046,WORK,PL_W34749604
P00046,CHILD_SCHOOL,PL_N7108106148
P00047,HOME,PL_W705740396
P00047,WORK,PL_W661897517
P00047,CHILD_SCHOOL,PL_W37236885
P00048,HOME,PL_W662775424
P00048,WORK,PL_W659322530
P00048,CHILD_SCHOOL,PL_W34769549
P00049,HOME,PL_W705125021
P00049,WORK,PL_W943602453
P00050,HOME,PL_W42472531
P00050,WORK,PL_W229563603
P00051,HOME,PL_W704196083
P00051,WORK,PL_W58567258
P00052,HOME,PL_W36791496
P00052,WORK,PL_W302103495
P00052,CHILD_SCHOOL,PL_W33396855
P00053,HOME,PL_W767378211
P00053,WORK,PL_W185655076
P00054,HOME,PL_W660079287
P00054,WORK,PL_W27767634
P00055,HOME,PL_W704292283
P00055,WORK,PL_W670272316
P00056,HOME,PL_W660816929
P00056,WORK,PL_W165787889
P00057,HOME,PL_W660075339
P00057,WORK,PL_W115222390
P00058,HOME,PL_W660212598
P00058,WORK,PL_W33296742
P00059,HOME,PL_W660820065
P00059,WORK,PL_W34582534
P00060,HOME,PL_W661636847
P00060,UNIVERSITY,PL_W23447424
P00061,HOME,PL_W661777910
P00061,WORK,PL_N5478431221
P00061,CHILD_SCHOOL,PL_W186575947
P00062,HOME,PL_W33036598
P00062,WORK,PL_N5508838727
P00063,HOME,PL_W659447274
P00063,WORK,PL_W33362896
P00064,HOME,PL_W702141532
P00064,WORK,PL_W61010490
P00064,CHILD_SCHOOL,PL_W25366324
P00065,HOME,PL_W36888109
P00065,WORK,PL_W659632945
P00065,CHILD_SCHOOL,PL_W224897072
P00066,HOME,PL_W132148485
P00066,WORK,PL_N7578550206
P00066,CHILD_SCHOOL,PL_W36880101
P00067,HOME,PL_W30966658
P00067,WORK,PL_N6549452007
P00068,HOME,PL_W702160078
P00068,WORK,PL_W66984063
P00068,CHILD_SCHOOL,PL_W36817966
P00069,HOME,PL_W656562251
P00069,WORK,PL_N5169424170
P00069,CHILD_SCHOOL,PL_W36370852
P00070,HOME,PL_W31617619
P00070,WORK,PL_N9230904959
P00070,CHILD_SCHOOL,PL_W43605743
P00071,HOME,PL_W659447615
P00071,WORK,PL_W660248239
P00072,HOME,PL_W702160078
P00072,WORK,PL_W34582782
P00073,HOME,PL_W170052631
P00073,WORK,PL_W34582270
P00073,CHILD_SCHOOL,PL_W225936203
P00074,HOME,PL_W660600888
P00074,WORK,PL_W80378604
P00075,HOME,PL_W58936386
P00075,WORK,PL_W678508073
P00075,CHILD_SCHOOL,PL_W705565520
P00076,HOME,PL_W705132821
P00076,WORK,PL_W663828131
P00076,CHILD_SCHOOL,PL_W32121744
P00077,HOME,PL_W573332603
P00077,WORK,PL_W573332603
P00077,CHILD_SCHOOL,PL_W216295703
P00078,HOME,PL_W659829644
P00078,WORK,PL_W659829644
P00079,HOME,PL_W31811119
P00079,WORK,PL_W231284913
P00079,CHILD_SCHOOL,PL_W220408094
P00080,HOME,PL_W705844122
P00080,WORK,PL_W398743849
P00080,CHILD_SCHOOL,PL_W68507025
P00081,HOME,PL_W661275640
P00081,WORK,PL_N2117820215
P00081,CHILD_SCHOOL,PL_W703420516
P00082,HOME,PL_W31619296
P00082,WORK,PL_N3326906383
P00083,HOME,PL_W705109222
P00083,WORK,PL_N6323402035
P00084,HOME,PL_W702167759
P00084,WORK,PL_N3206983509
P00084,CHILD_SCHOOL,PL_W688045884
P00085,HOME,PL_W660357598
P00085,WORK,PL_W598637693
P00085,CHILD_SCHOOL,PL_W703420515
P00086,HOME,PL_W705218756
P00086,WORK,PL_N13011543841
P00087,HOME,PL_W705507606
P00087,WORK,PL_W661194117
P00087,CHILD_SCHOOL,PL_W225582647
P00088,HOME,PL_W659454661
P00088,WORK,PL_W659454661
P00088,CHILD_SCHOOL,PL_N4213745389
P00089,HOME,PL_W43934772
P00089,WORK,PL_W27767627
